Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,intercell_mean,intercell_var,intercell_stdev,intercell_max,intercell_min,intercell_median,intercell_muc,intercell_notempty
0,33287.000000,8395434.000000,18100872.000000,0.000000,252.213596,543.782017,0.000000,0.000000,100006868.315250,94676131.325914,35078584.859056,0.000000,0.000000,0.000000,93.396432,88.418055,32.759896,0.000000,0.000000,181.814488,7184.720143,0.000000,181.814488,84.762728,-0.000000,85.805119,125.283561,0.000000,544,252,0,434,134,0,653,359,0,134,508,0,1061,298.607375,306.788399,0.747479,9.062546,  2228.886672,    47.211086,   255.000000,     0.000000,     0.000000,301665.000000,1183
1,3393.000000,1269474.000000,984881.000000,0.000000,374.145004,290.268493,0.000000,0.000000,1134470.402003,856982.657824,-176980.099027,0.000000,0.000000,0.000000,22.250922,16.808419,-3.471197,0.000000,0.000000,39.059342,361.953639,0.000000,39.059342,19.025079,-0.000000,29.717897,37.395796,0.000000,290,374,0,253,343,0,328,406,0,343,318,0,284,70.065693,83.411540,-0.452958,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0
2,24018.000000,18804059.000000,9379310.000000,0.000000,782.915271,390.511699,0.000000,0.000000,58024639.212374,37795038.578238,5361295.308597,0.000000,0.000000,0.000000,83.733001,54.540486,7.736667,0.000000,0.000000,138.273488,4506.982614,0.000000,138.273488,67.134064,-0.000000,77.666400,99.094886,0.000000,391,783,0,292,702,0,491,870,0,702,391,0,750,173.115096,205.058953,0.243696,1.815513,   459.678958,    21.440124,   255.000000,     0.000000,     0.000000, 43605.000000,171
3,8433.000000,8314095.000000,5784586.000000,0.000000,985.900035,685.946401,0.000000,0.000000,6017739.773269,7161966.729987,-1451543.183920,0.000000,0.000000,0.000000,35.058279,41.724342,-8.456431,0.000000,0.000000,76.782622,1391.272422,0.000000,76.782622,37.299764,-0.000000,60.286643,47.359640,0.000000,686,986,0,624,932,0,746,1055,0,932,663,0,538,147.584329,148.794036,0.597675,0.423336,   107.784474,    10.381930,   255.000000,     0.000000,     0.000000,  3570.000000,14
4,11459.000000,13439204.000000,2526012.000000,0.000000,1172.807749,220.439130,0.000000,0.000000,12170442.293738,12386575.471850,-3105424.594815,0.000000,0.000000,0.000000,47.109743,47.946358,-12.020578,0.000000,0.000000,95.056101,2114.246321,0.000000,95.056101,45.980934,-0.000000,70.973202,54.795811,0.000000,220,1173,0,137,1088,0,284,1235,0,1088,208,0,623,204.366020,204.366020,0.768005,1.290688,   327.488280,    18.096637,   255.000000,     0.000000,     0.000000, 14790.000000,58
5,6682.000000,8015136.000000,2649709.000000,0.000000,1199.511523,396.544298,0.000000,0.000000,3512929.387757,3984581.612689,925211.589044,0.000000,0.000000,0.000000,27.912203,31.659746,7.351327,0.000000,0.000000,59.571950,829.651273,0.000000,59.571950,28.803667,-0.000000,52.797041,40.691810,0.000000,397,1200,0,349,1150,0,443,1252,0,1150,374,0,394,119.044972,129.176459,-0.660610,4.236007,  1062.397068,    32.594433,   255.000000,     0.000000,     0.000000, 28305.000000,111
