Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,intercell_mean,intercell_var,intercell_stdev,intercell_max,intercell_min,intercell_median,intercell_muc,intercell_notempty
0,8950.000000,4496933.000000,868220.000000,0.000000,502.450614,97.007821,0.000000,0.000000,11280751.452510,5227769.671618,-1123130.543015,0.000000,0.000000,0.000000,60.707262,28.133195,-6.044116,0.000000,0.000000,88.840458,1671.357938,0.000000,88.840458,40.882244,-0.000000,45.361221,68.562458,0.000000,97,502,0,11,456,0,165,570,0,456,140,0,542,115.823344,156.463114,-0.177673,7.407821,  1834.323550,    42.829003,   255.000000,     0.000000,     0.000000, 66300.000000,260
1,16403.000000,11809873.000000,6314267.000000,0.000000,719.982503,384.945863,0.000000,0.000000,16928221.926831,33343393.978399,-9054738.537150,0.000000,0.000000,0.000000,40.617541,80.004071,-21.725921,0.000000,0.000000,120.621613,2777.553035,0.000000,120.621613,52.702495,-0.000000,94.837515,55.762128,0.000000,385,720,0,314,633,0,455,811,0,633,431,0,684,154.229803,194.701453,0.417217,3.186917,   802.556329,    28.329425,   255.000000,     0.000000,     0.000000, 52275.000000,205
2,38856.000000,38194238.000000,7236540.000000,0.000000,982.968859,186.239962,0.000000,0.000000,193044388.585301,79639472.319721,-294024.644863,0.000000,0.000000,0.000000,146.682981,60.513311,-0.223411,0.000000,0.000000,207.196292,8876.223025,0.000000,207.196292,94.213709,-0.000000,89.834209,139.865012,0.000000,186,983,0,45,877,0,337,1082,0,877,134,0,1040,205.000689,292.000981,-0.002592,9.745599,  2390.212591,    48.889800,   255.000000,     0.000000,     0.000000,378675.000000,1485
