Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,intercell_mean,intercell_var,intercell_stdev,intercell_max,intercell_min,intercell_median,intercell_muc,intercell_notempty
0,14014.000000,3351125.000000,4705357.000000,0.000000,239.126944,335.761167,0.000000,0.000000,31555655.627285,29277701.165741,24297108.883174,0.000000,0.000000,0.000000,93.395881,86.653775,71.912620,0.000000,0.000000,180.049656,2921.680701,0.000000,180.049656,54.052573,-0.000000,40.109538,120.223763,0.000000,336,239,0,230,128,0,436,319,0,128,256,0,822,264.004413,284.737744,0.761976,2.074354,   524.694820,    22.906217,   255.000000,     0.000000,     0.000000, 29070.000000,114
1,8590.000000,4276541.000000,4901992.000000,0.000000,497.851105,570.662630,0.000000,0.000000,36319086.304535,1909066.564492,-1218187.494994,0.000000,0.000000,0.000000,206.448007,10.851676,-6.924523,0.000000,0.000000,217.299684,2192.358035,0.000000,217.299684,46.822623,-0.000000,27.085550,119.565908,0.000000,571,498,0,434,460,0,712,530,0,460,567,0,754,70.043742,278.173720,-0.035343,0.356228,    90.721846,     9.524801,   255.000000,     0.000000,     0.000000,  3060.000000,12
2,29787.000000,22338301.000000,14566971.000000,0.000000,749.934568,489.037868,0.000000,0.000000,48858607.283854,133993829.474386,-8531056.193558,0.000000,0.000000,0.000000,52.914179,145.116160,-9.239187,0.000000,0.000000,198.030339,7593.339905,0.000000,198.030339,87.139772,-0.000000,130.238980,77.715347,0.000000,489,750,0,394,596,0,591,906,0,596,495,0,1223,197.967308,311.522161,0.098895,0.094168,    24.004930,     4.899482,   255.000000,     0.000000,     0.000000,  2805.000000,11
