Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,intercell_mean,intercell_var,intercell_stdev,intercell_max,intercell_min,intercell_median,intercell_muc,intercell_notempty
0,28442.000000,15950300.000000,6525826.000000,0.000000,560.800928,229.443288,0.000000,0.000000,117337813.023592,48714764.855439,-1650311.102826,0.000000,0.000000,0.000000,135.152623,56.110882,-1.900869,0.000000,0.000000,191.263506,7579.919697,0.000000,191.263506,87.062734,-0.000000,79.482130,123.426514,0.000000,229,561,0,110,456,0,392,667,0,456,174,0,1222,211.060936,282.081441,-0.024030,0.277934,    70.798422,     8.414179,   255.000000,     0.000000,     0.000000,  7905.000000,31
1,23434.000000,17493951.000000,13431703.000000,0.000000,746.520056,573.171588,0.000000,0.000000,45712989.043448,61028019.073473,23502141.853481,0.000000,0.000000,0.000000,68.167555,91.005443,35.046571,0.000000,0.000000,159.172999,4975.356430,0.000000,159.172999,70.536206,-0.000000,113.188699,68.562870,0.000000,573,747,0,469,642,0,688,859,0,642,541,0,982,268.147293,270.618697,-0.627910,0.359093,    91.443828,     9.562626,   255.000000,     0.000000,     0.000000,  8415.000000,33
2,18790.000000,19286198.000000,14535094.000000,0.000000,1026.407557,773.554763,0.000000,0.000000,25104791.148676,50882744.926844,16327132.623620,0.000000,0.000000,0.000000,50.255959,101.859488,32.684427,0.000000,0.000000,152.115448,4050.774586,0.000000,152.115448,63.645695,-0.000000,108.471106,58.655673,0.000000,774,1026,0,698,938,0,846,1172,0,938,726,0,797,164.463801,260.030605,-0.451269,3.474188,   873.894564,    29.561707,   255.000000,     0.000000,     0.000000, 65280.000000,256
