Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,intercell_mean,intercell_var,intercell_stdev,intercell_max,intercell_min,intercell_median,intercell_muc,intercell_notempty
0,41364.000000,8936715.000000,12294173.000000,0.000000,216.050551,297.219151,0.000000,0.000000,108463906.387700,274015547.296889,-83404140.246568,0.000000,0.000000,0.000000,75.820830,191.548386,-58.303000,0.000000,0.000000,267.369217,11124.117890,0.000000,267.369217,105.470933,-0.000000,168.411564,82.299632,0.000000,297,216,0,183,17,0,405,389,0,17,339,0,1248,240.479807,402.966164,0.394589,32.765810,  7281.859449,    85.333811,   255.000000,     0.000000,     0.000000,1355325.000000,5315
1,27813.000000,17726645.000000,13259169.000000,0.000000,637.351058,476.725595,0.000000,0.000000,52877013.748195,84911404.261211,10357767.281187,0.000000,0.000000,0.000000,62.748469,100.763267,12.291428,0.000000,0.000000,163.511737,6171.661623,0.000000,163.511737,78.559923,-0.000000,110.452425,83.121279,0.000000,477,637,0,392,479,0,573,738,0,479,450,0,985,188.719864,270.046657,-0.287013,10.039370,  2459.338842,    49.591721,   255.000000,     0.000000,     0.000000,279225.000000,1095
2,15770.000000,16267228.000000,6879366.000000,0.000000,1031.529993,436.231198,0.000000,0.000000,46096767.050328,9587058.312992,-5105882.356878,0.000000,0.000000,0.000000,116.563221,24.242446,-12.911059,0.000000,0.000000,140.805668,2659.082207,0.000000,140.805668,51.566289,-0.000000,47.121907,108.135824,0.000000,436,1032,0,321,972,0,540,1079,0,972,448,0,666,108.002625,221.052101,-0.136365,32.097336,  7155.035550,    84.587443,   255.000000,     0.000000,     0.000000,506175.000000,1985
