Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,intercell_mean,intercell_var,intercell_stdev,intercell_max,intercell_min,intercell_median,intercell_muc,intercell_notempty
0,8553.000000,2323722.000000,4901521.000000,0.000000,271.685022,573.076230,0.000000,0.000000,4850802.297671,10061359.451417,-2340910.634864,0.000000,0.000000,0.000000,27.732495,57.521742,-13.383207,0.000000,0.000000,85.254237,1416.111212,0.000000,85.254237,37.631253,-0.000000,69.424200,41.699497,0.000000,573,272,0,529,217,0,627,360,0,217,557,0,500,104.951312,153.143241,0.366000,22.151876,  5158.626018,    71.823575,   255.000000,     0.000000,     0.000000,189465.000000,743
1,27982.000000,12598962.000000,2689719.000000,0.000000,450.252376,96.123186,0.000000,0.000000,40977968.376658,107942049.716846,-21825214.941864,0.000000,0.000000,0.000000,48.236829,127.062966,-25.691346,0.000000,0.000000,175.299795,5469.069371,0.000000,175.299795,73.953156,-0.000000,127.632219,70.074326,0.000000,96,450,0,18,323,0,170,576,0,323,121,0,841,158.568567,263.933207,0.288836,13.760631,  3319.724767,    57.617052,   255.000000,     0.000000,     0.000000,385050.000000,1510
2,8637.000000,3996367.000000,4318542.000000,0.000000,462.703137,500.004862,0.000000,0.000000,7657439.795760,5263680.844967,-1935057.531781,0.000000,0.000000,0.000000,43.211535,29.703365,-10.919681,0.000000,0.000000,72.914900,1164.288566,0.000000,72.914900,34.121672,-0.000000,43.823843,63.314283,0.000000,500,463,0,444,410,0,564,513,0,410,500,0,450,117.915341,137.377097,-0.508433,45.260507,  9494.015036,    97.437236,   255.000000,     0.000000,     0.000000,390915.000000,1533
3,17844.000000,12421211.000000,7848852.000000,0.000000,696.100145,439.859448,0.000000,0.000000,25183325.496955,26839796.039604,2290777.165430,0.000000,0.000000,0.000000,54.007838,57.560283,4.912771,0.000000,0.000000,111.568121,3084.571152,0.000000,111.568121,55.538915,-0.000000,79.421100,72.301282,0.000000,440,696,0,364,622,0,518,786,0,622,415,0,636,188.140150,200.357043,-0.611933,8.174176,  2017.710847,    44.918936,   255.000000,     0.000000,     0.000000,145860.000000,572
4,14617.000000,11046495.000000,11113645.000000,0.000000,755.729287,760.323253,0.000000,0.000000,11508261.626045,25804787.791871,1223830.115071,0.000000,0.000000,0.000000,32.200706,72.203119,3.424339,0.000000,0.000000,104.403825,2313.265348,0.000000,104.403825,48.096417,-0.000000,83.972459,55.711738,0.000000,760,756,0,703,666,0,818,835,0,666,763,0,572,115.414544,169.609199,-0.084781,7.728330,  1911.127818,    43.716447,   255.000000,     0.000000,     0.000000,112965.000000,443
5,7748.000000,6161466.000000,1093962.000000,0.000000,795.233092,141.192823,0.000000,0.000000,5659945.921010,5418521.035104,-2691185.240061,0.000000,0.000000,0.000000,36.916977,35.342284,-17.553246,0.000000,0.000000,72.259261,996.613844,0.000000,72.259261,31.569191,-0.000000,38.201673,64.982658,0.000000,141,795,0,85,738,0,193,846,0,738,176,0,436,149.423930,149.423930,-0.762985,39.099122,  8442.624483,    91.883755,   255.000000,     0.000000,     0.000000,302940.000000,1188
6,14262.000000,15436830.000000,4576261.000000,0.000000,1082.374842,320.870915,0.000000,0.000000,12198535.355833,26527396.093380,6766416.084556,0.000000,0.000000,0.000000,35.269592,76.698589,19.563720,0.000000,0.000000,111.968182,2322.388864,0.000000,111.968182,48.191169,-0.000000,89.863014,51.263875,0.000000,321,1082,0,259,997,0,392,1165,0,997,298,0,610,143.126113,180.790879,-0.378417,38.977702,  8420.643356,    91.764063,   255.000000,     0.000000,     0.000000,555900.000000,2180
7,15888.000000,17167039.000000,11573932.000000,0.000000,1080.503461,728.470040,0.000000,0.000000,20092421.739161,20526517.809590,-1510943.852215,0.000000,0.000000,0.000000,50.304477,51.391304,-3.782881,0.000000,0.000000,101.695781,2570.902522,0.000000,101.695781,50.704068,-0.000000,73.993948,68.626694,0.000000,728,1081,0,658,1005,0,804,1154,0,1005,724,0,596,193.196156,197.165940,0.714060,33.030589,  7332.241904,    85.628511,   255.000000,     0.000000,     0.000000,524790.000000,2058
