Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,intercell_mean,intercell_var,intercell_stdev,intercell_max,intercell_min,intercell_median,intercell_muc,intercell_notempty
0,10104.000000,3249252.000000,1883104.000000,0.000000,321.580760,186.372129,0.000000,0.000000,8180312.791762,8382148.099759,-940036.657956,0.000000,0.000000,0.000000,37.449451,38.373452,-4.303485,0.000000,0.000000,75.822904,1418.544773,0.000000,75.822904,37.663573,-0.000000,60.247426,53.720438,0.000000,186,322,0,128,263,0,240,380,0,263,203,0,464,150.560097,157.281530,0.731925,1.059976,   269.197035,    16.407225,   255.000000,     0.000000,     0.000000, 10710.000000,42
1,36809.000000,25637083.000000,16514845.000000,0.000000,696.489527,448.663234,0.000000,0.000000,106466379.455144,140705908.212451,-54279904.823022,0.000000,0.000000,0.000000,86.950842,114.914185,-44.330270,0.000000,0.000000,201.865027,8026.712270,0.000000,201.865027,89.591920,-0.000000,139.449332,84.750523,0.000000,449,696,0,335,574,0,560,839,0,574,452,0,1010,278.993210,328.592003,0.632636,4.066532,  1020.456858,    31.944590,   255.000000,     0.000000,     0.000000,149685.000000,587
